topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
R,184920,1201980,13,1,32,12.9893,0.0001,0.163697323,4.74847417,0.0001,-0.0006,9,3,38,0.1041,91754,0.4962,182,0.4986,12.4835,334.8885
R,184920,924600,10,0,28,9.983,0.0001,0.140752415,5.259169985,0.0001,0.0001,7,3,44,0.1205,86643,0.4685,191,0.5233,9.3863,296.9234
R,184920,3328560,36,14,65,35.9669,0.0002,0.252775707,3.516340767,0.0002,-0.0006,26,3,23,0.063,100938,0.5458,167,0.4575,42.8771,623.3606
R,181505,3357842,37,12,67,37.03,0.0002,0.255588504,3.489682305,0.0002,-0.0001,27,3,23,0.063,98922,0.545,162,0.4438,43.4794,610.4121
R,181505,816772,9,0,24,8.9754,0,0.1317529,5.494748967,0,0.0001,6,3,48,0.1315,81362,0.4483,190,0.5205,8.9737,278.8645
R,181505,1905802,21,5,46,20.9418,0.0001,0.205973842,4.051874161,0.0001,-0.0004,15,3,29,0.0795,95758,0.5276,169,0.463,22.266,421.7875
R,181505,726020,8,0,22,8.0026,0,0.121435491,5.794822688,0,-0.0012,5,3,51,0.1397,77632,0.4277,190,0.5205,7.5678,262.5762
R,181505,998277,11,0,30,11.0569,0.0001,0.149331099,5.054357539,0.0001,-0.0017,7,3,41,0.1123,86531,0.4767,195,0.5342,11.008,299.9292
R,181505,544515,6,0,22,5.9776,0,0.096235349,6.698881638,0,-0.0002,4,3,64,0.1753,67250,0.3705,204,0.5589,7.1692,238.5483
R,181505,3176337,35,11,65,34.9942,0.0002,0.250720741,3.536153581,0.0002,0.0004,25,3,23,0.063,99045,0.5457,168,0.4603,40.2616,594.3222
R,181505,2450317,27,7,59,26.9093,0.0001,0.227988285,3.776202602,0.0002,-0.001,19,3,25,0.0685,97749,0.5385,170,0.4658,32.4936,493.5687
